@relation foodfacts
@attribute vitamin-c_100g numeric
@attribute sodium_100g numeric
@attribute salt_100g numeric
@attribute proteins_100g numeric
@attribute fiber_100g numeric
@attribute sugars_100g numeric
@attribute carbohydrates_100g numeric
@attribute saturated-fat_100g numeric
@attribute fat_100g numeric
@attribute energy_100g numeric
@attribute nutrition-score-fr_100g {bad, medium, good}
@data
0,0.741,1.88,7.41,3.7,33.3,77.8,3.7,9.26,1700,good
0,0.815,2.07,3.7,3.7,44.4,85.2,3.7,5.56,1700,good
0,0.741,1.88,3.7,3.7,44.4,85.2,3.7,5.56,1700,good
0,0.12,0.3048,1,1,9,22,1.5,5,586,medium
0.0087,0.309,0.785,7.25,1.45,3.38,10.6,4.35,9.66,647,good
0,0,0,6.98,11.6,27.9,48.8,23.3,39.5,2040,good
0,1.53,3.89,8.33,3.33,3.33,66.7,6.67,13.3,1740,good
0,1.5,3.81,10,1.67,1.67,63.3,10,20,1950,good
0,1.73,4.4,8.33,1.67,3.33,68.3,7.5,15,1880,good
0.032,0,0,0,0,12,12,0,0,205,good
0,0.964,2.45,21.4,0,3.57,3.57,17.9,32.1,1640,good
0,0.964,2.45,21.4,0,3.57,3.57,17.9,32.1,1640,good
0,0.964,2.45,21.4,0,3.57,3.57,17.9,32.1,1640,good
0,0.214,0.544,3.57,0,21.4,57.1,3.57,17.9,1790,good
0.0677,0.71,1.8,19.4,0,12.9,74.2,0,1.61,1620,good
0.0517,0.466,1.18,3.45,10.3,41.4,89.7,1.72,3.45,1590,good
0,0.0375,0.0953,0,0,62.5,85,0,0,1460,good
0,0.138,0.349,12.5,5,52.5,62.5,20,22.5,2090,good
0,0.0658,0.167,10.5,2.63,50,55.3,15.8,31.6,2090,good
0,0.0814,0.207,6.98,2.33,55.8,60.5,18.6,30.2,2040,good
0,0.353,0.896,16.5,0,0,0,4.71,23.5,1180,medium
0,0.5,1.27,6.25,0,0,12.5,0,0,262,medium
0.00706,0.941,2.39,0,0,23.5,29.4,0,0,494,good
0,0.357,0.907,0,0,0,0,14.3,78.6,3290,good
0,0.507,1.29,5.33,2.67,5.33,26.7,0.667,8,781,medium
0,0.0492,0.125,1.64,0,1.64,3.28,4.1,13.1,618,medium
0,0.672,1.71,3.28,0,1.64,3.28,8.2,16.4,754,good
0.0144,0.272,0.691,2.4,0.8,9.6,11.2,0,1.6,268,medium
0.0072,0.408,1.04,1.6,1.6,5.6,8,0,2.8,268,medium
0.0214,0.571,1.45,10.7,10.7,3.57,71.4,0,7.14,1490,medium
0.00107,0.0511,0.13,3.56,0,4.89,4.89,2.22,3.56,279,medium
0.00324,0.0432,0.11,5.41,2.7,48.6,54.1,8.11,40.5,2350,good
0,0.0432,0.11,5.41,2.7,48.6,54.1,8.11,40.5,2350,good
0,0.239,0.608,6.06,3.03,42.4,60.6,12.1,36.4,2410,good
0,0.04,0.1016,4,2,15,20,10,17,920,good
0,0.0375,0.0953,12.5,15,12.5,37.5,27.5,45,2400,good
0,0.0375,0.0953,7.5,2.5,42.5,57.5,17.5,32.5,1990,good
0,0,0,5,0,47.5,60,17.5,32.5,1990,good
0,0.125,0.318,5,0,47.5,60,17.5,32.5,1990,good
0,0.025,0.0635,10,12.5,7.5,30,32.5,55,2510,good
0,0.107,0.272,7.14,2.38,54.8,54.8,21.4,35.7,2290,good
0,0.0833,0.212,5.56,2.78,38.9,38.9,38.9,52.8,2670,good
0,0.0375,0.0953,5,5,45,47.5,22.5,35,2200,good
0.00286,0.119,0.302,9.52,2.38,45.2,50,16.7,35.7,2290,good
0,0,0,5,0,47.5,60,17.5,32.5,1990,good
0,0.469,1.19,21.9,6.25,9.38,18.8,9.38,50,2480,good
0,0.469,1.19,21.9,6.25,9.38,18.8,9.38,50,2480,good
0,0.469,1.19,21.9,6.25,9.38,18.8,9.38,50,2480,good
0,1.41,3.58,12.5,0,0,1.79,10.7,28.6,1340,good
0,1.16,2.96,12.9,0,1.18,2.35,9.41,25.9,1230,good
0,0.469,1.19,21.9,6.25,9.38,18.8,9.38,50,2480,good
0,1.36,3.46,12.1,0,0,1.72,10.3,27.6,1300,good
0.0306,0.276,0.7,8.16,12.2,28.6,69.4,6.12,14.3,1710,good
0.036,0.56,1.42,8,0,12,88,0,0,1670,good
0.0176,0.471,1.2,5.88,2.94,35.3,88.2,0,0,1600,good
0.0517,0.466,1.18,3.45,10.3,41.4,89.7,1.72,3.45,1590,good
0.0517,0.517,1.31,34.5,10.3,34.5,86.2,1.72,3.45,1590,good
0,0.396,1.01,4.17,4.17,25,70.8,3.12,10.4,1660,good
0.0207,0.517,1.31,3.45,3.45,34.5,89.7,0,0,1590,good
0.0677,0.613,1.56,6.45,9.68,29,87.1,0,0,1480,good
0,0.594,1.51,31.2,9.38,21.9,59.4,0,3.12,1570,medium
0.0129,0.571,1.45,3.57,3.57,3.57,53.6,0,0,1050,medium
0.013,0.543,1.38,2.71,2.71,2.71,51.6,9.5,35.3,2160,good
0,0.48,1.22,4,2,38,72,4,10,1670,good
0.0209,0.739,1.88,8.7,4.35,8.7,82.6,0,0,1460,medium
0.004,0.367,0.931,0,0,0,6.67,1.67,30,1260,medium
0,0.423,1.07,4.62,3.85,9.23,22.3,0,0.769,451,medium
0,0.321,0.816,14.3,0,0,0,14.3,21.4,1050,good
0,0.0252,0.064,0,0,75.6,93.2,3.78,3.78,1690,good
0,0.0705,0.179,4.7,2.35,63.5,70.5,11.8,21.2,2070,good
0,0.047,0.119,9.41,2.35,49.4,58.8,10.6,25.9,2160,good
0.0968,0.484,1.23,3.23,6.45,0,9.68,1.61,12.9,606,medium
0,0.933,2.37,0,0,10,10,1.67,16.7,837,good
0.00288,0.392,0.996,1.6,1.6,4.8,8,0,0.8,201,medium
0,0.717,1.82,1.67,1.67,1.67,6.67,4.17,7.5,418,good
0,0.583,1.48,3.33,0,1.67,5,4.17,6.67,418,good
0,0.6,1.52,6.67,0,6.67,73.3,0,20,1950,good
0,0.025,0.0635,2.5,5,72.5,77.5,0,0,1360,medium
0,0.0529,0.134,4.71,0,17.1,18.8,4.12,7.06,640,medium
0,0.905,2.3,9.52,0,4.76,4.76,4.76,7.14,695,good
0.0072,0.376,0.955,1.6,2.4,4.8,8,0.8,3.6,302,medium
0,0.0312,0.0794,21.9,6.25,6.25,15.6,9.38,50,2620,good
0.029,0.403,1.02,6.45,6.45,25.8,83.9,0,3.23,1620,medium
0,0,0,12.5,3.57,3.57,73.2,0,1.79,1490,bad
0,0.941,2.39,0,0,23.5,23.5,0,0,494,good
0,0.0396,0.101,10.1,0.441,3.96,4.41,0,0,240,bad
0,0.0417,0.106,0,0,55.6,61.1,13.9,13.9,1630,good
0.00414,0.862,2.19,3.45,0,3.45,3.45,10.3,62.1,2450,good
0,0.29,0.7366,0,0,1,2,2.5,15,586,medium
0.00257,0.00714,0.0181,0.714,4.29,13.6,18.6,0,0,329,bad
0.000857,0.00357,0.00907,0.714,2.14,18.6,21.4,0,0,359,bad
0,0.589,1.5,19.6,0,0,0,0,1.79,373,medium
0,1.06,2.69,8,2,12,74,1,3,1510,good
0,0.393,0.998,17.9,7.14,3.57,21.4,7.14,53.6,2540,good
0.0024,0.03,0.0762,8,0.667,6,8,0,0,279,bad
0,0.00417,0.0106,0,0,0,0,0,0,0,medium
0,0.075,0.191,0.417,0.417,0,0.833,0,1.04,52.5,medium
0,75,190,0.417,0.417,0,0.833,0.125,1.46,69.6,good
0,0.857,2.18,9.52,0,4.76,4.76,4.76,7.14,695,good
0,0.905,2.3,9.52,0,4.76,4.76,4.76,7.14,695,good
0,0.952,2.42,9.52,0,4.76,4.76,7.14,7.14,695,good
0.0005,0.075,0.191,3.33,0,7.5,8.33,0.625,1.04,244,bad
0.00058,0.0918,0.233,4.59,0,7.73,8.21,0.725,1.09,263,medium
0,0.867,2.2,13.3,0,0,0,3.33,16.7,840,good
0.00178,0.289,0.734,3.7,2.96,1.48,16.3,0.37,4.44,496,bad
0.00244,0.48,1.22,9.76,1.63,3.25,26.8,4.07,9.76,986,medium
0.0187,0.469,1.19,6.25,3.12,46.9,87.5,0,3.12,1700,good
0,0.464,1.18,25,0,0,3.57,17.9,32.1,1640,good
0.0171,0,0,0,7.14,78.6,85.7,0,0,1490,medium
0,1.4,3.56,0,0,76,92,0,0,1510,good
0,1.39,3.54,14.3,3.57,7.14,75,0,3.57,1640,good
0.0171,0,0,0,7.14,78.6,85.7,0,0,1490,medium
0,0.433,1.1,3.33,6.67,46.7,76.7,0,0,1390,good
0,0.516,1.31,6.45,0,16.1,58.1,9.68,29,2160,good
0,0.397,1.01,2.94,2.94,41.2,73.5,5.88,20.6,1970,good
0,0.29,0.737,6.45,6.45,22.6,71,3.23,16.1,1890,good
0,0.571,1.45,10.7,10.7,0,71.4,1.79,14.3,1790,medium
0,0.482,1.22,10.7,10.7,0,71.4,1.79,14.3,1790,medium
0,0.429,1.09,10.7,10.7,0,71.4,1.79,14.3,1790,medium
0,0.44,1.12,8,6,22,70,1,16,1920,medium
0,0.355,0.901,3.23,6.45,38.7,71,0,6.45,1480,good
0,0.656,1.67,6.25,0,6.25,62.5,6.25,28.1,2090,good
0,0.656,1.67,6.25,0,6.25,62.5,6.25,28.1,2090,good
0,0.533,1.35,10,3.33,0,70,5,15,1810,good
0,0.482,1.22,7.14,3.57,21.4,75,1.79,14.3,1790,good
0,0.397,1.01,2.94,2.94,41.2,73.5,5.88,20.6,1970,good
0,0.353,0.896,2.94,0,35.3,70.6,5.88,20.6,1970,good
0,0.643,1.63,7.14,7.14,0,78.6,0,10.7,1790,medium
0,0.421,1.07,3.51,3.51,40.4,71.9,6.14,19.3,1980,good
0,0.397,1.01,2.94,2.94,41.2,73.5,5.88,20.6,1970,good
0,0.377,0.958,7.55,1.89,32.1,69.8,4.72,20.8,2050,good
0.0187,0.922,2.34,18.8,0,0,0,0.781,3.12,458,good
0,0.493,1.25,7.04,2.82,1.41,53.5,2.82,6.34,1240,medium
0.0214,0.893,2.27,10.7,0,0,3.57,8.93,25,1200,good
0,0.056,0.142,12,0,12,32,44,60,3180,good
0.058,0,0,1,0,3.2,3.2,0,0.3,83,bad
